,Country
0,China
1,India
2,Russia
3,United States
4,Canada
5,France
6,Pakistan
7,Ukraine
8,Germany
9,Turkey
10,Argentina
11,Iran
12,Australia
13,Kazakhstan
14,Poland
15,United Kingdom
16,Egypt
17,Spain
18,Romania
19,Italy
20,Brazil
21,Iraq
22,Uzbekistan
23,Ethiopia
24,Afghanistan
25,Hungary
26,Czech Republic
27,Bulgaria
28,Lithuania
29,Denmark
30,Sweden
31,Algeria
32,Mexico
33,Serbia
34,Syria
35,Belarus
36,Latvia
37,Morocco
38,Nepal
39,Slovakia
40,South Africa
